pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbincl,pl_insol,pl_eqt,pl_imppar,pl_trandur,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_met,st_meterr1,st_meterr2,st_dens,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_gaiamag,sy_tmag,sy_snum,sy_pnum,sy_mnum,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_pm,sy_pmra,sy_pmdec,glon,glat,orbital_size_score,stellar_scale_score,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_rade,pl_bmasse,orbital_speed_proxy,eccentricity_mass_interaction,log_orbper
0.81347753,,,,,,0.0,82.149,,,,,0.6669244598559422,0.10508,-0.059018,0.7840254832635581,0.089673,-0.059849,4111.246255692276,96.92,-156.24,4.49204,0.128862,-0.098546,,,,2.107042,12.21651670283734,0.057,-0.057,13.796,0.022,-0.022,9.995,0.024,-0.024,9.397,0.025,-0.025,9.267,0.026,-0.026,9.152,0.023,-0.023,9.225,0.02,-0.02,9.134,0.032,-0.032,8.469,11.907,11.1184,1,1,0,132.01417180594294,0.3281,-0.3257,11.4991,56.8007302,-42.0435,-38.1925,252.78676,37.86975,,1.4076490000000002,0.0,1.0,0.0,24.0,12.0,0.0,2.302,565.714,,0.0,-0.08965443870964712
4.9540021,2.2e-06,-2.2e-06,,,,,,,,,,1.4423736685179849,0.05,-0.05,2.1198765832021627,0.12,-0.06,6452.618641678,130.0,-130.0,3.96,0.02,-0.05,-0.08,0.12,-0.12,0.225,11.20536588705947,0.018,-0.018,12.021,0.263,-0.263,10.568,0.022,-0.022,10.386,0.024,-0.024,10.322,0.019,-0.019,10.265,0.023,-0.023,10.295,0.02,-0.02,10.133,0.062,-0.062,9.159,11.478,11.117,1,1,0,641.7805136974798,8.792,-8.511,1.88108,7.5488719,5.82573,-4.80066,351.09757,-37.30371,,3.53,0.0,0.0,0.0,0.0,0.0,0.0,2.302,133.4886,,,0.6949561863471575
217.8317626,0.0001058,-0.0001058,0.75127,0.00445,-0.00445,,,3.7,,,,1.1940951756597238,0.018,-0.024,1.3142924627142898,0.03,-0.029,6197.622740743533,60.0,-60.0,,,,0.12,0.04,-0.04,0.59,11.686558247056372,0.022,-0.022,12.482,0.319,-0.319,10.953,0.02,-0.02,10.728,0.02,-0.02,10.688,0.018,-0.018,10.649,0.023,-0.023,10.664,0.022,-0.022,10.684,0.07,-0.07,9.068,11.8292,11.4605,1,2,0,452.5811673752679,4.122,-4.039,2.4885,10.0411048,7.17447,7.02501,70.90471,9.24415,152.70761481999995,2.456,0.0,0.0,0.0,0.0,0.0,0.0,12.255,1678.1424,289.95136582054386,,2.338121205613372
,,,,,,,,1486.438,,,,,,,0.8935597943207249,0.075,-0.068,6060.2164122912,212.0,-212.0,,,,,,,,15.72969533383703,0.08,-0.08,16.14,0.081,-0.081,14.157,0.026,-0.026,13.784,0.034,-0.034,13.655,0.034,-0.034,13.702,0.024,-0.024,13.729,0.03,-0.03,13.032,,,9.551,15.3281,14.8443,1,1,0,1316.3447987978218,40.22,-37.44,0.911685,16.639877,15.3783,6.35558,78.73876,16.31601,,,0.0,0.0,0.0,0.0,0.0,0.0,1.045,1.12,,,
18.11989364,3.685e-05,-3.685e-05,0.1291,,,0.0,88.81,24.81,569.0,0.4995,4.2774,0.8784026745213994,0.066,-0.087,0.7971190297914318,0.158,-0.057,5225.334988349234,165.0,-144.0,4.584,0.025,-0.135,0.06,0.26,-0.28,1.4653,15.846967083455542,0.115,-0.115,16.653,0.044,-0.044,14.055,0.027,-0.027,13.632,0.028,-0.028,13.534,0.048,-0.048,13.489,0.024,-0.024,13.598,0.028,-0.028,12.654,,,9.294,15.5122,14.9133,1,3,0,1020.642353043778,20.317,-19.394,1.16424,8.4686833,-8.46777,0.124372,77.02002,12.89296,12.722655548,1.664,0.0,0.0,0.0,0.0,0.0,0.0,3.17,10.2,140.35548907823394,0.0,1.2581556441301618
16.92344113,5.446e-05,-5.446e-05,,,,,,,,,4.0618,1.0141812798374017,0.069,-0.065,0.9997648071398032,0.246,-0.102,5822.51857981188,123.65,-169.98,4.43,0.076,-0.177,0.03,0.142,-0.176,,16.172796359451638,0.092,-0.092,16.104,0.068,-0.068,14.638,0.031,-0.031,14.319,0.046,-0.046,14.161,0.065,-0.065,14.001,0.027,-0.027,14.019,0.031,-0.031,12.861,0.32,-0.32,9.289,15.8316,15.3229,1,1,0,1779.7679255519736,74.39,-67.69,0.650755,9.1817533,-0.392504,-9.17336,79.31892,11.81541,,2.02,0.0,0.0,0.0,0.0,0.0,0.0,3.63,12.8,,,1.2284886750045252
8.18504859,8.346e-05,-8.346e-05,,,,,,,,,,1.1090683922048468,,,1.4646226675258802,,,6012.042601518414,122.0,-122.0,4.12258,,,,,,0.450064,14.867082815000623,0.08,-0.08,15.962,0.342,-0.342,13.509,0.021,-0.021,13.198,0.022,-0.022,13.107,0.028,-0.028,13.083,0.023,-0.023,13.181,0.024,-0.024,13.124,0.517,-0.517,9.315,14.6583,14.189,1,1,0,1690.1442325805126,49.98,-46.76,0.676306,1.7115929,0.158696,1.70422,78.33732,9.82378,,2.62497,0.0,0.0,0.0,0.0,0.0,0.0,2.302,2.15,,,0.9130212619161018
67.0930642,0.0001785,-0.0001785,,,,,,,,,,1.0152574545204849,,,0.9181385002066343,,,5695.585548313275,143.3,-143.3,4.51692,,,-0.048,0.134,-0.134,1.841952,13.661491087508823,0.069,-0.069,,,,12.449,0.023,-0.023,12.101,0.021,-0.021,12.083,0.02,-0.02,11.845,0.024,-0.024,11.979,0.023,-0.023,11.947,0.2,-0.2,8.879,13.5973,13.127,1,2,0,624.9843554444636,4.228,-4.228,1.8904,4.0256381,-1.94326,-3.52555,74.10843,8.34737,,1.927774,0.0,0.0,0.0,0.0,0.0,0.0,2.302,10.6,,,1.8266776269446183
4.1509756,1.07e-05,-1.07e-05,,,,,,159.592,990.0,,2.029,,,,1.0469727172517187,0.05,-0.05,5697.185653621848,123.6,-123.6,4.41,0.08,-0.08,,,,,12.3925875051707,0.114,-0.114,13.393,0.005,-0.005,11.525,0.024,-0.024,11.234,0.03,-0.03,11.156,0.02,-0.02,11.11,0.022,-0.022,11.168,0.021,-0.021,11.362,0.222,-0.222,9.074,12.6023,12.1444,1,1,0,506.2607448327079,7.804,-7.498,2.62497,26.6076039,-17.4495,-20.0868,60.85363,-9.83355,,,0.0,0.0,0.0,0.0,0.0,0.0,10.8804,3651.84839643,,,0.6181501805439005
,,,,,,,,50.37,,,,,,,0.8264343824175425,0.067,-0.06,999999.0,189.0,-189.0,,,,,,,,15.211419388934,0.08,-0.08,15.907,0.067,-0.067,13.833,0.023,-0.023,13.412,0.028,-0.028,13.332,0.038,-0.038,13.256,0.023,-0.023,13.363,0.025,-0.025,13.039,,,9.244,15.1734,14.6172,1,1,0,973.848610488632,19.673,-18.777,1.20647,0.9770519,-0.95542,-0.204458,76.04997,9.6861,,,0.0,0.0,0.0,0.0,0.0,0.0,2.239,6.04,,,
